"Date";"D0";"D1";"Value"
"2006";"SD";"BP";"38.27825599"
"2006";"SD";"BBB";"268520.41167622"
"2006";"SD";"BB";"48.49376205"
"2007";"B";"AA";"60480.8699967"
"2007";"B";"AE";"64027.67078277"
"2007";"B";"AB";"64500.85815458"
"2007";"B";"AC";"-473.18737181"
"2007";"B";"AD";"-3546.80078607"
"2007";"B";"BCA";"53441.00630254"
"2007";"B";"B";"114941.4862702"
"2007";"B";"BP";"19.51186263"
"2007";"B";"BBB";"138195.52847845"
"2007";"B";"BB";"23.45934662"
"2007";"K";"AA";"73726.8266435"
"2007";"K";"AE";"70266.55578543"
"2007";"K";"AB";"69274.52939016"
"2007";"K";"AC";"992.02639527"
"2007";"K";"AD";"3460.27085807"
"2007";"K";"BCA";"38697.36733243"
"2007";"K";"B";"50108.75574425"
"2007";"K";"BP";"8.50619902"
"2007";"K";"BBB";"69815.92083198"
"2007";"K";"BB";"11.8515838"
"2007";"G";"AA";"39911.17192472"
"2007";"G";"AE";"37793.71594299"
"2007";"G";"AB";"37530.49670282"
"2007";"G";"AC";"263.21924017"
"2007";"G";"AD";"2117.45598173"
"2007";"G";"BCA";"23928.05254087"
"2007";"G";"B";"38197.00742272"
"2007";"G";"BP";"6.48412323"
"2007";"G";"BBB";"54860.13312947"
"2007";"G";"BB";"9.31276788"
"2007";"S";"AA";"58979.35999549"
"2007";"S";"AE";"51726.95990929"
"2007";"S";"AB";"51725.10987565"
"2007";"S";"AC";"1.85003364"
"2007";"S";"AD";"7252.4000862"
"2007";"S";"BCA";"34868.62667945"
"2007";"S";"B";"4800.051565"
"2007";"S";"BP";"0.81483153"
"2007";"S";"BBB";"7126.140673"
"2007";"S";"BB";"1.20969619"
"2007";"SD";"AA";"182822.49118859"
"2007";"SD";"AE";"173539.16504862"
"2007";"SD";"AB";"172755.25675135"
"2007";"SD";"AC";"783.90829727"
"2007";"SD";"AD";"9283.32613997"
"2007";"SD";"BCA";"150935.05285529"
"2007";"SD";"B";"201843.20559752"
"2007";"SD";"BP";"34.26384178"
"2007";"SD";"BBB";"263793.62770825"
"2007";"SD";"BB";"44.78021985"
"2008";"B";"AA";"67734.16221397"
"2008";"B";"AE";"62015.43479414"
"2008";"B";"AB";"60603.04239989"
"2008";"B";"AC";"1412.39239425"
"2008";"B";"AD";"5718.72741983"
"2008";"B";"BCA";"58953.41245429"
"2008";"B";"B";"114899.85469662"
"2008";"B";"BP";"18.70091327"
"2008";"B";"BBB";"141794.54655781"
"2008";"B";"BB";"23.07824952"
"2008";"K";"AA";"77470.99015954"
"2008";"K";"AE";"73406.08530251"
"2008";"K";"AB";"74371.38858036"
"2008";"K";"AC";"-965.30327785"
"2008";"K";"AD";"4064.90485703"
"2008";"K";"BCA";"39447.5971867"
"2008";"K";"B";"45065.28169809"
"2008";"K";"BP";"7.33475187"
"2008";"K";"BBB";"74409.38739637"
"2008";"K";"BB";"12.11075074"
"2008";"G";"AA";"41354.13970106"
"2008";"G";"AE";"41004.35604948"
"2008";"G";"AB";"40647.67424668"
"2008";"G";"AC";"356.6818028"
"2008";"G";"AD";"349.78365158"
"2008";"G";"BCA";"24503.39854436"
"2008";"G";"B";"38716.47078156"
"2008";"G";"BP";"6.30142974"
"2008";"G";"BBB";"59719.77031634"
"2008";"G";"BB";"9.71989258"
"2008";"S";"AA";"51760.69526075"
"2008";"S";"AE";"50013.90538138"
"2008";"S";"AB";"50014.13622795"
"2008";"S";"AC";"-0.23084657"
"2008";"S";"AD";"1746.78987937"
"2008";"S";"BCA";"36816.17668955"
"2008";"S";"B";"4148.40248685"
"2008";"S";"BP";"0.67518723"
"2008";"S";"BBB";"4864.11229995"
"2008";"S";"BB";"0.791675"
"2008";"SD";"AA";"195883.25271264"
"2008";"SD";"AE";"184003.04690484"
"2008";"SD";"AB";"183199.50683221"
"2008";"SD";"AC";"803.54007263"
"2008";"SD";"AD";"11880.2058078"
"2008";"SD";"BCA";"159720.5848749"
"2008";"SD";"B";"197241.02825534"
"2008";"SD";"BP";"32.1026286"
"2008";"SD";"BBB";"275198.83516269"
"2008";"SD";"BB";"44.79091432"
"2009";"B";"AA";"64601.65649388"
"2009";"B";"AE";"62415.65934421"
"2009";"B";"AB";"61194.52896322"
"2009";"B";"AC";"1221.13038099"
"2009";"B";"AD";"2185.99714967"
"2009";"B";"BCA";"56421.57650495"
"2009";"B";"B";"105907.90643177"
"2009";"B";"BP";"17.56236222"
"2009";"B";"BBB";"130862.5138202"
"2009";"B";"BB";"21.70050326"
"2009";"K";"AA";"77909.14692566"
"2009";"K";"AE";"75542.41795384"
"2009";"K";"AB";"76121.7318195"
"2009";"K";"AC";"-579.31386566"
"2009";"K";"AD";"2366.72897182"
"2009";"K";"BCA";"39515.16552762"
"2009";"K";"B";"41398.65414068"
"2009";"K";"BP";"6.8650036"
"2009";"K";"BBB";"69849.16508956"
"2009";"K";"BB";"11.58285891"
"2009";"G";"AA";"41989.19997947"
"2009";"G";"AE";"42324.43293098"
"2009";"G";"AB";"42039.84726381"
"2009";"G";"AC";"284.58566717"
"2009";"G";"AD";"-335.23295151"
"2009";"G";"BCA";"24770.5491401"
"2009";"G";"B";"38866.50692981"
"2009";"G";"BP";"6.4451059"
"2009";"G";"BBB";"59849.9503334"
"2009";"G";"BB";"9.92472179"
"2009";"S";"AA";"53211.11683286"
"2009";"S";"AE";"54427.88402265"
"2009";"S";"AB";"54422.50790928"
"2009";"S";"AC";"5.37611337"
"2009";"S";"AD";"-1216.76718979"
"2009";"S";"BCA";"38107.47379344"
"2009";"S";"B";"5617.38963115"
"2009";"S";"BP";"0.93151338"
"2009";"S";"BBB";"6056.24918402"
"2009";"S";"BB";"1.00428802"
"2009";"SD";"AA";"194361.68041661"
"2009";"SD";"AE";"191360.95443641"
"2009";"SD";"AB";"190429.17614054"
"2009";"SD";"AC";"931.77829587"
"2009";"SD";"AD";"3000.7259802"
"2009";"SD";"BCA";"158814.76496611"
"2009";"SD";"B";"184879.2160352"
"2009";"SD";"BP";"30.65791656"
"2009";"SD";"BBB";"259706.63732897"
"2009";"SD";"BB";"43.06630344"
"2010";"B";"AA";"67095.92661918"
"2010";"B";"AE";"63738.50320185"
"2010";"B";"AB";"62740.19719016"
"2010";"B";"AC";"998.30601169"
"2010";"B";"AD";"3357.42341733"
"2010";"B";"BCA";"58537.35285807"
"2010";"B";"B";"104047.18305694"
"2010";"B";"BP";"16.65967437"
"2010";"B";"BBB";"130884.93286208"
"2010";"B";"BB";"20.95684186"
"2010";"K";"AA";"79337.9955249"
"2010";"K";"AE";"77985.88573952"
"2010";"K";"AB";"78228.76202741"
"2010";"K";"AC";"-242.87628789"
"2010";"K";"AD";"1352.10978538"
"2010";"K";"BCA";"40122.11801456"
"2010";"K";"B";"40901.34320362"
"2010";"K";"BP";"6.54898133"
"2010";"K";"BBB";"68029.95839409"
"2010";"K";"BB";"10.89272118"
"2010";"G";"AA";"42294.86541776"
"2010";"G";"AE";"42924.67320301"
"2010";"G";"AB";"42583.74506732"
"2010";"G";"AC";"340.92813569"
"2010";"G";"AD";"-629.80778525"
"2010";"G";"BCA";"24754.43222541"
"2010";"G";"B";"38852.62050695"
"2010";"G";"BP";"6.22094695"
"2010";"G";"BBB";"60948.9017511"
"2010";"G";"BB";"9.75892693"
"2010";"S";"AA";"53597.37656523"
"2010";"S";"AE";"55466.73830621"
